"","subid","submit.date","submit.time","trial.num","itemNum","trialType","samePos","chosen","chosenIdx","kept","keptIdx","rt","numPic","interval","test","exp","day.and.time","correct","include","first.trial","numPicN","intervalN"
"32","1200","Aug 10 2013","11:59:57",20,7,"New Label",0,"Novel63",3,"Novel96",3,3562,"4","7",1,"Exp 2",15927.4999652778,FALSE,TRUE,FALSE,4,7
"33","1201","Aug 14 2013","22:24:50",6,0,"Same",0,"Novel122",5,"Novel122",3,2871,"8","0",1,"Exp 2",15931.933912037,TRUE,TRUE,TRUE,8,0
"34","1201","Aug 14 2013","22:24:50",8,1,"New Label",0,"Novel71",7,"Novel35",7,3306,"8","0",1,"Exp 2",15931.933912037,FALSE,TRUE,FALSE,8,0
"35","1201","Aug 14 2013","22:24:50",10,2,"Same",0,"Novel2",2,"Novel2",4,1262,"8","0",1,"Exp 2",15931.933912037,TRUE,TRUE,FALSE,8,0
"36","1201","Aug 14 2013","22:24:50",12,3,"New Label",1,"Novel22",0,"Novel81",5,5335,"8","0",1,"Exp 2",15931.933912037,FALSE,TRUE,FALSE,8,0
"37","1201","Aug 14 2013","22:24:50",14,4,"Same",1,"Novel32",1,"Novel32",1,1895,"8","0",1,"Exp 2",15931.933912037,TRUE,TRUE,FALSE,8,0
"38","1201","Aug 14 2013","22:24:50",16,5,"New Label",0,"Novel87",6,"Novel31",7,2707,"8","0",1,"Exp 2",15931.933912037,FALSE,TRUE,FALSE,8,0
"39","1201","Aug 14 2013","22:24:50",18,6,"Same",1,"Novel85",5,"Novel85",5,1013,"8","0",1,"Exp 2",15931.933912037,TRUE,TRUE,FALSE,8,0
"40","1201","Aug 14 2013","22:24:50",20,7,"New Label",1,"Novel47",7,"Novel26",6,4925,"8","0",1,"Exp 2",15931.933912037,FALSE,TRUE,FALSE,8,0
"41","1202","Aug 05 2013","23:28:47",9,0,"New Label",0,"Novel125",1,"Novel129",0,1736,"4","3",1,"Exp 2",15922.9783217593,FALSE,TRUE,TRUE,4,3
"42","1202","Aug 05 2013","23:28:47",10,1,"Same",1,"Novel50",0,"Novel50",0,1954,"4","3",1,"Exp 2",15922.9783217593,TRUE,TRUE,FALSE,4,3
"43","1202","Aug 05 2013","23:28:47",11,2,"New Label",1,"Novel21",2,"Novel108",1,1559,"4","3",1,"Exp 2",15922.9783217593,FALSE,TRUE,FALSE,4,3
"44","1202","Aug 05 2013","23:28:47",12,3,"Same",1,"Novel113",0,"Novel113",0,3179,"4","3",1,"Exp 2",15922.9783217593,TRUE,TRUE,FALSE,4,3
"45","1202","Aug 05 2013","23:28:47",17,4,"New Label",1,"Novel28",1,"Novel28",1,2633,"4","3",1,"Exp 2",15922.9783217593,TRUE,TRUE,FALSE,4,3
"46","1202","Aug 05 2013","23:28:47",18,5,"Same",0,"Novel88",3,"Novel88",1,1167,"4","3",1,"Exp 2",15922.9783217593,TRUE,TRUE,FALSE,4,3
"47","1202","Aug 05 2013","23:28:47",19,6,"New Label",0,"Novel38",2,"Novel38",1,1617,"4","3",1,"Exp 2",15922.9783217593,TRUE,TRUE,FALSE,4,3
"48","1202","Aug 05 2013","23:28:47",20,7,"Same",0,"Novel91",1,"Novel91",0,956,"4","3",1,"Exp 2",15922.9783217593,TRUE,TRUE,FALSE,4,3
"49","1203","Aug 10 2013","10:04:14",7,0,"New Label",0,"Novel7",0,"Novel69",0,1788,"3","1",1,"Exp 2",15927.4196064815,FALSE,TRUE,TRUE,3,1
"50","1203","Aug 10 2013","10:04:14",8,1,"Same",1,"Novel87",1,"Novel87",1,3244,"3","1",1,"Exp 2",15927.4196064815,TRUE,TRUE,FALSE,3,1
"51","1203","Aug 10 2013","10:04:14",11,2,"New Label",1,"Novel120",0,"Novel120",0,2620,"3","1",1,"Exp 2",15927.4196064815,TRUE,TRUE,FALSE,3,1
"52","1203","Aug 10 2013","10:04:14",12,3,"Same",1,"Novel72",2,"Novel72",2,1068,"3","1",1,"Exp 2",15927.4196064815,TRUE,TRUE,FALSE,3,1
"53","1203","Aug 10 2013","10:04:14",15,4,"New Label",0,"Novel82",1,"Novel82",2,4068,"3","1",1,"Exp 2",15927.4196064815,TRUE,TRUE,FALSE,3,1
"54","1203","Aug 10 2013","10:04:14",16,5,"Same",0,"Novel113",2,"Novel113",1,1556,"3","1",1,"Exp 2",15927.4196064815,TRUE,TRUE,FALSE,3,1
"55","1203","Aug 10 2013","10:04:14",19,6,"New Label",1,"Novel43",1,"Novel105",0,3286,"3","1",1,"Exp 2",15927.4196064815,FALSE,TRUE,FALSE,3,1
"56","1203","Aug 10 2013","10:04:14",20,7,"Same",0,"Novel57",2,"Novel57",0,2591,"3","1",1,"Exp 2",15927.4196064815,TRUE,TRUE,FALSE,3,1
"57","1204","Aug 14 2013","21:47:26",6,0,"New Label",0,"Novel33",4,"Novel70",2,7798,"8","0",1,"Exp 2",15931.9079398148,FALSE,TRUE,TRUE,8,0
"58","1204","Aug 14 2013","21:47:26",8,1,"Same",1,"Novel15",1,"Novel15",1,1659,"8","0",1,"Exp 2",15931.9079398148,TRUE,TRUE,FALSE,8,0
"59","1204","Aug 14 2013","21:47:26",10,2,"New Label",0,"Novel120",0,"Novel76",5,7008,"8","0",1,"Exp 2",15931.9079398148,FALSE,TRUE,FALSE,8,0
"60","1204","Aug 14 2013","21:47:26",12,3,"Same",1,"Novel128",5,"Novel128",5,1506,"8","0",1,"Exp 2",15931.9079398148,TRUE,TRUE,FALSE,8,0
"61","1204","Aug 14 2013","21:47:26",14,4,"New Label",1,"Novel38",4,"Novel14",7,3739,"8","0",1,"Exp 2",15931.9079398148,FALSE,TRUE,FALSE,8,0
"62","1204","Aug 14 2013","21:47:26",16,5,"Same",0,"Novel5",1,"Novel80",1,1174,"8","0",1,"Exp 2",15931.9079398148,FALSE,TRUE,FALSE,8,0
"63","1204","Aug 14 2013","21:47:26",18,6,"New Label",1,"Novel21",4,"Novel60",1,3705,"8","0",1,"Exp 2",15931.9079398148,FALSE,TRUE,FALSE,8,0
"64","1204","Aug 14 2013","21:47:26",20,7,"Same",0,"Novel44",4,"Novel44",3,1715,"8","0",1,"Exp 2",15931.9079398148,TRUE,TRUE,FALSE,8,0
"65","1205","Aug 09 2013","12:21:43",9,0,"Same",0,"Novel136",1,"Novel136",0,1146,"2","3",1,"Exp 2",15926.5150810185,TRUE,TRUE,TRUE,2,3
"66","1205","Aug 09 2013","12:21:43",10,1,"New Label",0,"Novel91",1,"Novel91",0,2750,"2","3",1,"Exp 2",15926.5150810185,TRUE,TRUE,FALSE,2,3
"67","1205","Aug 09 2013","12:21:43",11,2,"Same",1,"Novel101",0,"Novel90",1,2005,"2","3",1,"Exp 2",15926.5150810185,FALSE,TRUE,FALSE,2,3
"68","1205","Aug 09 2013","12:21:43",12,3,"New Label",0,"Novel30",1,"Novel135",1,1909,"2","3",1,"Exp 2",15926.5150810185,FALSE,TRUE,FALSE,2,3
"69","1205","Aug 09 2013","12:21:43",17,4,"Same",1,"Novel53",1,"Novel53",1,778,"2","3",1,"Exp 2",15926.5150810185,TRUE,TRUE,FALSE,2,3
"70","1205","Aug 09 2013","12:21:43",18,5,"New Label",1,"Novel56",0,"Novel117",1,1272,"2","3",1,"Exp 2",15926.5150810185,FALSE,TRUE,FALSE,2,3
"71","1205","Aug 09 2013","12:21:43",19,6,"Same",0,"Novel70",1,"Novel70",0,1063,"2","3",1,"Exp 2",15926.5150810185,TRUE,TRUE,FALSE,2,3
"72","1205","Aug 09 2013","12:21:43",20,7,"New Label",1,"Novel13",0,"Novel27",1,1465,"2","3",1,"Exp 2",15926.5150810185,FALSE,TRUE,FALSE,2,3
"73","1206","Aug 05 2013","23:51:18",13,0,"New Label",0,"Novel49",2,"Novel89",1,2176,"3","7",1,"Exp 2",15922.9939583333,FALSE,TRUE,TRUE,3,7
"74","1206","Aug 05 2013","23:51:18",14,1,"Same",1,"Novel123",2,"Novel123",2,1674,"3","7",1,"Exp 2",15922.9939583333,TRUE,TRUE,FALSE,3,7
"75","1206","Aug 05 2013","23:51:18",15,2,"New Label",0,"Novel92",1,"Novel87",2,1496,"3","7",1,"Exp 2",15922.9939583333,FALSE,TRUE,FALSE,3,7
"76","1206","Aug 05 2013","23:51:18",16,3,"Same",0,"Novel61",0,"Novel61",1,2553,"3","7",1,"Exp 2",15922.9939583333,TRUE,TRUE,FALSE,3,7
"77","1206","Aug 05 2013","23:51:18",17,4,"New Label",1,"Novel96",2,"Novel27",0,2962,"3","7",1,"Exp 2",15922.9939583333,FALSE,TRUE,FALSE,3,7
"78","1206","Aug 05 2013","23:51:18",18,5,"Same",0,"Novel126",2,"Novel22",0,2065,"3","7",1,"Exp 2",15922.9939583333,FALSE,TRUE,FALSE,3,7
"79","1206","Aug 05 2013","23:51:18",19,6,"New Label",1,"Novel15",2,"Novel15",2,2321,"3","7",1,"Exp 2",15922.9939583333,TRUE,TRUE,FALSE,3,7
"80","1206","Aug 05 2013","23:51:18",20,7,"Same",1,"Novel36",1,"Novel79",0,3144,"3","7",1,"Exp 2",15922.9939583333,FALSE,TRUE,FALSE,3,7
"81","1207","Aug 14 2013","23:52:05",6,0,"Same",1,"Novel15",1,"Novel15",1,1352,"2","0",1,"Exp 2",15931.9945023148,TRUE,TRUE,TRUE,2,0
"82","1207","Aug 14 2013","23:52:05",8,1,"New Label",1,"Novel56",0,"Novel56",0,1618,"2","0",1,"Exp 2",15931.9945023148,TRUE,TRUE,FALSE,2,0
"83","1207","Aug 14 2013","23:52:05",10,2,"Same",0,"Novel94",1,"Novel94",0,926,"2","0",1,"Exp 2",15931.9945023148,TRUE,TRUE,FALSE,2,0
"84","1207","Aug 14 2013","23:52:05",12,3,"New Label",0,"Novel7",1,"Novel63",1,2927,"2","0",1,"Exp 2",15931.9945023148,FALSE,TRUE,FALSE,2,0
"85","1207","Aug 14 2013","23:52:05",14,4,"Same",0,"Novel18",1,"Novel18",0,1268,"2","0",1,"Exp 2",15931.9945023148,TRUE,TRUE,FALSE,2,0
"86","1207","Aug 14 2013","23:52:05",16,5,"New Label",0,"Novel132",1,"Novel132",0,3421,"2","0",1,"Exp 2",15931.9945023148,TRUE,TRUE,FALSE,2,0
"87","1207","Aug 14 2013","23:52:05",18,6,"Same",1,"Novel74",0,"Novel74",0,402,"2","0",1,"Exp 2",15931.9945023148,TRUE,TRUE,FALSE,2,0
"88","1207","Aug 14 2013","23:52:05",20,7,"New Label",1,"Novel77",0,"Novel77",0,1296,"2","0",1,"Exp 2",15931.9945023148,TRUE,TRUE,FALSE,2,0
"89","1208","Aug 10 2013","15:03:26",13,0,"Same",1,"Novel48",1,"Novel30",4,1268,"8","7",1,"Exp 2",15927.6273842593,FALSE,TRUE,TRUE,8,7
"90","1208","Aug 10 2013","15:03:26",14,1,"New Label",0,"Novel31",0,"Novel32",1,2119,"8","7",1,"Exp 2",15927.6273842593,FALSE,TRUE,FALSE,8,7
"91","1208","Aug 10 2013","15:03:26",15,2,"Same",0,"Novel128",7,"Novel128",3,3883,"8","7",1,"Exp 2",15927.6273842593,TRUE,TRUE,FALSE,8,7
"92","1208","Aug 10 2013","15:03:26",16,3,"New Label",1,"Novel18",2,"Novel125",7,2591,"8","7",1,"Exp 2",15927.6273842593,FALSE,TRUE,FALSE,8,7
"93","1208","Aug 10 2013","15:03:26",17,4,"Same",1,"Novel138",2,"Novel91",6,4923,"8","7",1,"Exp 2",15927.6273842593,FALSE,TRUE,FALSE,8,7
"94","1208","Aug 10 2013","15:03:26",18,5,"New Label",1,"Novel67",5,"Novel35",0,2453,"8","7",1,"Exp 2",15927.6273842593,FALSE,TRUE,FALSE,8,7
"95","1208","Aug 10 2013","15:03:26",19,6,"Same",0,"Novel15",3,"Novel15",2,2354,"8","7",1,"Exp 2",15927.6273842593,TRUE,TRUE,FALSE,8,7
"96","1208","Aug 10 2013","15:03:26",20,7,"New Label",0,"Novel10",5,"Novel11",4,3508,"8","7",1,"Exp 2",15927.6273842593,FALSE,TRUE,FALSE,8,7
"97","1209","Aug 06 2013","03:07:37",9,0,"Same",1,"Novel132",7,"Novel132",7,1248,"8","3",1,"Exp 2",15923.1302893519,TRUE,TRUE,TRUE,8,3
"98","1209","Aug 06 2013","03:07:37",10,1,"New Label",0,"Novel17",2,"Novel102",6,4522,"8","3",1,"Exp 2",15923.1302893519,FALSE,TRUE,FALSE,8,3
"99","1209","Aug 06 2013","03:07:37",11,2,"Same",1,"Novel84",7,"Novel84",7,2277,"8","3",1,"Exp 2",15923.1302893519,TRUE,TRUE,FALSE,8,3
"100","1209","Aug 06 2013","03:07:37",12,3,"New Label",0,"Novel19",1,"Novel19",2,3809,"8","3",1,"Exp 2",15923.1302893519,TRUE,TRUE,FALSE,8,3
"101","1209","Aug 06 2013","03:07:37",17,4,"Same",0,"Novel66",6,"Novel66",5,2824,"8","3",1,"Exp 2",15923.1302893519,TRUE,TRUE,FALSE,8,3
"102","1209","Aug 06 2013","03:07:37",18,5,"New Label",1,"Novel18",7,"Novel25",5,2846,"8","3",1,"Exp 2",15923.1302893519,FALSE,TRUE,FALSE,8,3
"103","1209","Aug 06 2013","03:07:37",19,6,"Same",0,"Novel124",6,"Novel124",0,1703,"8","3",1,"Exp 2",15923.1302893519,TRUE,TRUE,FALSE,8,3
"104","1209","Aug 06 2013","03:07:37",20,7,"New Label",1,"Novel118",3,"Novel38",0,3003,"8","3",1,"Exp 2",15923.1302893519,FALSE,TRUE,FALSE,8,3
"105","1210","Aug 06 2013","02:36:35",9,0,"Same",0,"Novel43",5,"Novel5",2,98,"8","3",1,"Exp 2",15923.1087384259,FALSE,TRUE,TRUE,8,3
"106","1210","Aug 06 2013","02:36:35",10,1,"New Label",1,"Novel1",0,"Novel78",6,776,"8","3",1,"Exp 2",15923.1087384259,FALSE,TRUE,FALSE,8,3
"107","1210","Aug 06 2013","02:36:35",11,2,"Same",0,"Novel122",0,"Novel127",6,1082,"8","3",1,"Exp 2",15923.1087384259,FALSE,TRUE,FALSE,8,3
"108","1210","Aug 06 2013","02:36:35",12,3,"New Label",1,"Novel34",0,"Novel76",3,1820,"8","3",1,"Exp 2",15923.1087384259,FALSE,TRUE,FALSE,8,3
"109","1210","Aug 06 2013","02:36:35",17,4,"Same",1,"Novel57",0,"Novel11",1,401,"8","3",1,"Exp 2",15923.1087384259,FALSE,TRUE,FALSE,8,3
"110","1210","Aug 06 2013","02:36:35",18,5,"New Label",0,"Novel89",5,"Novel29",3,615,"8","3",1,"Exp 2",15923.1087384259,FALSE,TRUE,FALSE,8,3
"111","1210","Aug 06 2013","02:36:35",19,6,"Same",1,"Novel100",5,"Novel82",1,650,"8","3",1,"Exp 2",15923.1087384259,FALSE,TRUE,FALSE,8,3
"112","1210","Aug 06 2013","02:36:35",20,7,"New Label",0,"Novel27",6,"Novel88",6,989,"8","3",1,"Exp 2",15923.1087384259,FALSE,TRUE,FALSE,8,3
"113","1211","Aug 15 2013","01:01:43",6,0,"Same",1,"Novel14",1,"Novel14",1,2141,"4","0",1,"Exp 2",15932.0428587963,TRUE,TRUE,TRUE,4,0
"114","1211","Aug 15 2013","01:01:43",8,1,"New Label",1,"Novel49",1,"Novel88",0,2653,"4","0",1,"Exp 2",15932.0428587963,FALSE,TRUE,FALSE,4,0
"115","1211","Aug 15 2013","01:01:43",10,2,"Same",0,"Novel120",1,"Novel120",0,2469,"4","0",1,"Exp 2",15932.0428587963,TRUE,TRUE,FALSE,4,0
"116","1211","Aug 15 2013","01:01:43",12,3,"New Label",1,"Novel119",1,"Novel119",1,4022,"4","0",1,"Exp 2",15932.0428587963,TRUE,TRUE,FALSE,4,0
"117","1211","Aug 15 2013","01:01:43",14,4,"Same",0,"Novel99",2,"Novel99",0,2146,"4","0",1,"Exp 2",15932.0428587963,TRUE,TRUE,FALSE,4,0
"118","1211","Aug 15 2013","01:01:43",16,5,"New Label",0,"Novel105",0,"Novel4",0,4003,"4","0",1,"Exp 2",15932.0428587963,FALSE,TRUE,FALSE,4,0
"119","1211","Aug 15 2013","01:01:43",18,6,"Same",1,"Novel62",0,"Novel62",0,2307,"4","0",1,"Exp 2",15932.0428587963,TRUE,TRUE,FALSE,4,0
"120","1211","Aug 15 2013","01:01:43",20,7,"New Label",0,"Novel35",2,"Novel24",1,5712,"4","0",1,"Exp 2",15932.0428587963,FALSE,TRUE,FALSE,4,0
"121","1212","Aug 05 2013","18:14:45",7,0,"New Label",1,"Novel123",0,"Novel123",0,3332,"2","1",1,"Exp 2",15922.7602430556,TRUE,TRUE,TRUE,2,1
"122","1212","Aug 05 2013","18:14:45",8,1,"Same",1,"Novel80",0,"Novel80",0,1858,"2","1",1,"Exp 2",15922.7602430556,TRUE,TRUE,FALSE,2,1
"123","1212","Aug 05 2013","18:14:45",11,2,"New Label",0,"Novel130",0,"Novel114",0,1427,"2","1",1,"Exp 2",15922.7602430556,FALSE,TRUE,FALSE,2,1
"124","1212","Aug 05 2013","18:14:45",12,3,"Same",0,"Novel63",1,"Novel63",0,1548,"2","1",1,"Exp 2",15922.7602430556,TRUE,TRUE,FALSE,2,1
"125","1212","Aug 05 2013","18:14:45",15,4,"New Label",1,"Novel116",0,"Novel42",1,1396,"2","1",1,"Exp 2",15922.7602430556,FALSE,TRUE,FALSE,2,1
"126","1212","Aug 05 2013","18:14:45",16,5,"Same",1,"Novel32",1,"Novel32",1,968,"2","1",1,"Exp 2",15922.7602430556,TRUE,TRUE,FALSE,2,1
"127","1212","Aug 05 2013","18:14:45",19,6,"New Label",0,"Novel109",0,"Novel137",0,1459,"2","1",1,"Exp 2",15922.7602430556,FALSE,TRUE,FALSE,2,1
"128","1212","Aug 05 2013","18:14:45",20,7,"Same",0,"Novel102",0,"Novel102",1,1766,"2","1",1,"Exp 2",15922.7602430556,TRUE,TRUE,FALSE,2,1
"129","1213","Aug 10 2013","15:19:38",13,0,"Same",0,"Novel55",7,"Novel55",5,2563,"8","7",1,"Exp 2",15927.6386342593,TRUE,TRUE,TRUE,8,7
"130","1213","Aug 10 2013","15:19:38",14,1,"New Label",0,"Novel15",7,"Novel17",7,3397,"8","7",1,"Exp 2",15927.6386342593,FALSE,TRUE,FALSE,8,7
"131","1213","Aug 10 2013","15:19:38",15,2,"Same",1,"Novel9",6,"Novel9",6,2021,"8","7",1,"Exp 2",15927.6386342593,TRUE,TRUE,FALSE,8,7
"132","1213","Aug 10 2013","15:19:38",16,3,"New Label",1,"Novel53",2,"Novel129",5,2131,"8","7",1,"Exp 2",15927.6386342593,FALSE,TRUE,FALSE,8,7
"133","1213","Aug 10 2013","15:19:38",17,4,"Same",1,"Novel126",2,"Novel5",3,6756,"8","7",1,"Exp 2",15927.6386342593,FALSE,TRUE,FALSE,8,7
"134","1213","Aug 10 2013","15:19:38",18,5,"New Label",0,"Novel112",5,"Novel110",4,4520,"8","7",1,"Exp 2",15927.6386342593,FALSE,TRUE,FALSE,8,7
"135","1213","Aug 10 2013","15:19:38",19,6,"Same",0,"Novel16",5,"Novel16",6,2469,"8","7",1,"Exp 2",15927.6386342593,TRUE,TRUE,FALSE,8,7
"136","1213","Aug 10 2013","15:19:38",20,7,"New Label",1,"Novel135",3,"Novel135",3,10569,"8","7",1,"Exp 2",15927.6386342593,TRUE,TRUE,FALSE,8,7
"137","1214","Aug 14 2013","22:30:24",6,0,"New Label",0,"Novel100",2,"Novel65",6,776,"8","0",1,"Exp 2",15931.9377777778,FALSE,TRUE,TRUE,8,0
"138","1214","Aug 14 2013","22:30:24",8,1,"Same",0,"Novel87",2,"Novel79",2,984,"8","0",1,"Exp 2",15931.9377777778,FALSE,TRUE,FALSE,8,0
"139","1214","Aug 14 2013","22:30:24",10,2,"New Label",1,"Novel97",2,"Novel108",1,842,"8","0",1,"Exp 2",15931.9377777778,FALSE,TRUE,FALSE,8,0
"140","1214","Aug 14 2013","22:30:24",12,3,"Same",1,"Novel58",2,"Novel58",2,1174,"8","0",1,"Exp 2",15931.9377777778,TRUE,TRUE,FALSE,8,0
"141","1214","Aug 14 2013","22:30:24",14,4,"New Label",0,"Novel84",3,"Novel31",3,1274,"8","0",1,"Exp 2",15931.9377777778,FALSE,TRUE,FALSE,8,0
"142","1214","Aug 14 2013","22:30:24",16,5,"Same",1,"Novel67",5,"Novel39",1,968,"8","0",1,"Exp 2",15931.9377777778,FALSE,TRUE,FALSE,8,0
"143","1214","Aug 14 2013","22:30:24",18,6,"New Label",1,"Novel75",3,"Novel18",1,1549,"8","0",1,"Exp 2",15931.9377777778,FALSE,TRUE,FALSE,8,0
"144","1214","Aug 14 2013","22:30:24",20,7,"Same",0,"Novel34",0,"Novel83",0,933,"8","0",1,"Exp 2",15931.9377777778,FALSE,TRUE,FALSE,8,0
"145","1215","Aug 14 2013","16:27:49",6,0,"Same",0,"Novel83",7,"Novel83",3,2616,"8","0",1,"Exp 2",15931.6859837963,TRUE,TRUE,TRUE,8,0
"146","1215","Aug 14 2013","16:27:49",8,1,"New Label",0,"Novel89",1,"Novel131",2,6630,"8","0",1,"Exp 2",15931.6859837963,FALSE,TRUE,FALSE,8,0
"147","1215","Aug 14 2013","16:27:49",10,2,"Same",0,"Novel95",1,"Novel95",0,2722,"8","0",1,"Exp 2",15931.6859837963,TRUE,TRUE,FALSE,8,0
"148","1215","Aug 14 2013","16:27:49",12,3,"New Label",1,"Novel49",4,"Novel133",3,4478,"8","0",1,"Exp 2",15931.6859837963,FALSE,TRUE,FALSE,8,0
"149","1215","Aug 14 2013","16:27:49",14,4,"Same",1,"Novel15",1,"Novel15",1,2845,"8","0",1,"Exp 2",15931.6859837963,TRUE,TRUE,FALSE,8,0
"150","1215","Aug 14 2013","16:27:49",16,5,"New Label",0,"Novel94",5,"Novel100",0,6874,"8","0",1,"Exp 2",15931.6859837963,FALSE,TRUE,FALSE,8,0
"151","1215","Aug 14 2013","16:27:49",18,6,"Same",1,"Novel4",6,"Novel4",6,2572,"8","0",1,"Exp 2",15931.6859837963,TRUE,TRUE,FALSE,8,0
