"","chosen_idx","rt","prev_other","chosen","prev_other_idx","prev_chosen","trialType","prev_chosen_idx","itemNum","samePos","worker","numPics","comp.chosen","comp.other","correct","familiar","Target","Competitor"
"17",0,3793,"","squirrel",0,"","Practice",0,0,0,3,4,NA,NA,NA,NA,NA,NA
"18",0,1223,"","squirrel",0,"","Practice",0,0,0,3,4,NA,NA,NA,NA,NA,NA
"19",1,1388,"","tomato",0,"","Practice",0,0,0,3,4,NA,NA,NA,NA,NA,NA
"20",2,1238,"","tomato",0,"","Practice",0,0,0,3,4,NA,NA,NA,NA,NA,NA
"21",2,3082,"Novel95","Novel85",0,"Novel85","Same vs. Same",2,6,1,3,4,"Novel116","Novel100",TRUE,FALSE,"Same","Same"
"22",2,3161,"Novel64","Novel23",1,"Novel14","Same vs. Switch",0,4,1,3,4,"Novel22","Novel23",FALSE,TRUE,"Same","Switch"
"23",3,2283,"Novel105","Novel105",1,"Novel139","Switch vs. Same",0,0,0,3,4,"Novel36","Novel12",TRUE,FALSE,"Switch","Same"
"24",2,2512,"Novel87","Novel6",0,"Novel58","Switch vs. Switch",2,2,0,3,4,"Novel19","Novel6",FALSE,TRUE,"Switch","Switch"
"25",0,1725,"","squirrel",0,"","Practice",0,0,0,4,2,NA,NA,NA,NA,NA,NA
"26",0,1189,"","squirrel",0,"","Practice",0,0,0,4,2,NA,NA,NA,NA,NA,NA
"27",0,1342,"","tomato",0,"","Practice",0,0,0,4,2,NA,NA,NA,NA,NA,NA
"28",1,1435,"","tomato",0,"","Practice",0,0,0,4,2,NA,NA,NA,NA,NA,NA
"29",1,1104,"Novel73","Novel37",1,"Novel37","Same vs. Same",0,0,0,4,2,"Novel62","Novel132",TRUE,FALSE,"Same","Same"
"30",0,3454,"Novel31","Novel11",1,"Novel63","Same vs. Switch",0,4,0,4,2,"Novel59","Novel11",FALSE,TRUE,"Same","Switch"
"31",0,1590,"Novel14","Novel14",1,"Novel95","Switch vs. Same",0,2,1,4,2,"Novel57","Novel8",TRUE,FALSE,"Switch","Same"
"32",1,3158,"Novel24","Novel24",0,"Novel29","Switch vs. Switch",1,6,1,4,2,"Novel60","Novel10",TRUE,FALSE,"Switch","Switch"
"33",0,3058,"","squirrel",0,"","Practice",0,0,0,5,4,NA,NA,NA,NA,NA,NA
"34",0,1156,"","squirrel",0,"","Practice",0,0,0,5,4,NA,NA,NA,NA,NA,NA
"35",1,1380,"","tomato",0,"","Practice",0,0,0,5,4,NA,NA,NA,NA,NA,NA
"36",2,1217,"","tomato",0,"","Practice",0,0,0,5,4,NA,NA,NA,NA,NA,NA
"37",1,1242,"Novel106","Novel28",0,"Novel28","Same vs. Same",1,6,1,5,4,"Novel80","Novel100",TRUE,FALSE,"Same","Same"
"38",0,1895,"Novel67","Novel64",1,"Novel64","Same vs. Switch",2,0,0,5,4,"Novel62","Novel95",TRUE,FALSE,"Same","Switch"
"39",1,8053,"Novel16","Novel8",1,"Novel12","Switch vs. Same",3,2,1,5,4,"Novel101","Novel17",FALSE,FALSE,"Switch","Same"
"40",2,5269,"Novel107","Novel49",1,"Novel125","Switch vs. Switch",3,4,0,5,4,"Novel139","Novel135",FALSE,FALSE,"Switch","Switch"
"41",0,1657,"","squirrel",0,"","Practice",0,0,1,6,2,NA,NA,NA,NA,NA,NA
"42",0,1299,"","squirrel",0,"","Practice",0,0,1,6,2,NA,NA,NA,NA,NA,NA
"43",0,1165,"","tomato",0,"","Practice",0,0,1,6,2,NA,NA,NA,NA,NA,NA
"44",1,1203,"","tomato",0,"","Practice",0,0,1,6,2,NA,NA,NA,NA,NA,NA
"45",1,1119,"Novel92","Novel3",1,"Novel3","Same vs. Same",0,2,0,6,2,"Novel80","Novel24",TRUE,FALSE,"Same","Same"
"46",0,1420,"Novel139","Novel86",1,"Novel86","Same vs. Switch",0,0,1,6,2,"Novel65","Novel47",TRUE,FALSE,"Same","Switch"
"47",0,1721,"Novel9","Novel101",0,"Novel60","Switch vs. Same",1,4,1,6,2,"Novel101","Novel50",FALSE,TRUE,"Switch","Same"
"48",1,2469,"Novel129","Novel77",0,"Novel122","Switch vs. Switch",1,6,0,6,2,"Novel87","Novel77",FALSE,TRUE,"Switch","Switch"
"49",0,5656,"","squirrel",0,"","Practice",0,0,0,7,2,NA,NA,NA,NA,NA,NA
"50",0,2602,"","squirrel",0,"","Practice",0,0,0,7,2,NA,NA,NA,NA,NA,NA
"51",0,2111,"","tomato",0,"","Practice",0,0,0,7,2,NA,NA,NA,NA,NA,NA
"52",1,1517,"","tomato",0,"","Practice",0,0,0,7,2,NA,NA,NA,NA,NA,NA
"53",0,1795,"Novel65","Novel124",0,"Novel124","Same vs. Same",1,0,0,7,2,"Novel87","Novel52",TRUE,FALSE,"Same","Same"
"54",0,1521,"Novel114","Novel5",1,"Novel5","Same vs. Switch",0,6,1,7,2,"Novel81","Novel47",TRUE,FALSE,"Same","Switch"
"55",0,1425,"Novel62","Novel62",0,"Novel54","Switch vs. Same",1,4,0,7,2,"Novel79","Novel73",TRUE,FALSE,"Switch","Same"
"56",0,3724,"Novel66","Novel30",0,"Novel35","Switch vs. Switch",1,2,1,7,2,"Novel76","Novel30",FALSE,TRUE,"Switch","Switch"
"57",0,1221,"","squirrel",0,"","Practice",0,0,0,8,2,NA,NA,NA,NA,NA,NA
"58",0,875,"","squirrel",0,"","Practice",0,0,0,8,2,NA,NA,NA,NA,NA,NA
"59",0,791,"","tomato",0,"","Practice",0,0,0,8,2,NA,NA,NA,NA,NA,NA
"60",1,787,"","tomato",0,"","Practice",0,0,0,8,2,NA,NA,NA,NA,NA,NA
"61",0,941,"Novel18","Novel56",0,"Novel56","Same vs. Same",1,0,0,8,2,"Novel123","Novel70",TRUE,FALSE,"Same","Same"
"62",1,1039,"Novel106","Novel61",1,"Novel61","Same vs. Switch",0,6,0,8,2,"Novel54","Novel119",TRUE,FALSE,"Same","Switch"
"63",1,1210,"Novel19","Novel19",0,"Novel129","Switch vs. Same",1,2,1,8,2,"Novel37","Novel14",TRUE,FALSE,"Switch","Same"
"64",1,1587,"Novel40","Novel40",0,"Novel1","Switch vs. Switch",1,4,1,8,2,"Novel34","Novel118",TRUE,FALSE,"Switch","Switch"
"65",0,3140,"","squirrel",0,"","Practice",0,0,1,9,2,NA,NA,NA,NA,NA,NA
"66",0,1291,"","squirrel",0,"","Practice",0,0,1,9,2,NA,NA,NA,NA,NA,NA
"67",0,1294,"","tomato",0,"","Practice",0,0,1,9,2,NA,NA,NA,NA,NA,NA
"68",1,1087,"","tomato",0,"","Practice",0,0,1,9,2,NA,NA,NA,NA,NA,NA
"69",0,2142,"Novel117","Novel42",1,"Novel42","Same vs. Same",0,0,1,9,2,"Novel115","Novel106",TRUE,FALSE,"Same","Same"
"70",0,1050,"Novel102","Novel22",1,"Novel22","Same vs. Switch",0,4,1,9,2,"Novel35","Novel119",TRUE,FALSE,"Same","Switch"
"71",1,3468,"Novel114","Novel114",1,"Novel139","Switch vs. Same",0,2,0,9,2,"Novel14","Novel86",TRUE,FALSE,"Switch","Same"
"72",1,1349,"Novel44","Novel36",0,"Novel69","Switch vs. Switch",1,6,0,9,2,"Novel17","Novel36",FALSE,TRUE,"Switch","Switch"
"73",0,2209,"","squirrel",0,"","Practice",0,0,1,10,4,NA,NA,NA,NA,NA,NA
"74",0,1600,"","squirrel",0,"","Practice",0,0,1,10,4,NA,NA,NA,NA,NA,NA
"75",1,1252,"","tomato",0,"","Practice",0,0,1,10,4,NA,NA,NA,NA,NA,NA
"76",2,1921,"","tomato",0,"","Practice",0,0,1,10,4,NA,NA,NA,NA,NA,NA
"77",2,4903,"Novel89","Novel84",2,"Novel84","Same vs. Same",1,6,0,10,4,"Novel43","Novel39",TRUE,FALSE,"Same","Same"
"78",0,1750,"Novel129","Novel6",2,"Novel6","Same vs. Switch",0,0,1,10,4,"Novel85","Novel61",TRUE,FALSE,"Same","Switch"
"79",3,4823,"Novel125","Novel125",1,"Novel122","Switch vs. Same",3,4,1,10,4,"Novel33","Novel95",TRUE,FALSE,"Switch","Same"
"80",2,6636,"Novel94","Novel53",2,"Novel108","Switch vs. Switch",3,2,0,10,4,"Novel44","Novel78",FALSE,FALSE,"Switch","Switch"
"81",0,2187,"","squirrel",0,"","Practice",0,0,0,11,2,NA,NA,NA,NA,NA,NA
"82",0,1287,"","squirrel",0,"","Practice",0,0,0,11,2,NA,NA,NA,NA,NA,NA
"83",0,1234,"","tomato",0,"","Practice",0,0,0,11,2,NA,NA,NA,NA,NA,NA
"84",1,1731,"","tomato",0,"","Practice",0,0,0,11,2,NA,NA,NA,NA,NA,NA
"85",0,2091,"Novel53","Novel99",1,"Novel99","Same vs. Same",0,4,1,11,2,"Novel70","Novel90",TRUE,FALSE,"Same","Same"
"86",0,818,"Novel97","Novel3",0,"Novel3","Same vs. Switch",1,6,0,11,2,"Novel111","Novel41",TRUE,FALSE,"Same","Switch"
"87",0,4278,"Novel37","Novel37",0,"Novel62","Switch vs. Same",1,0,0,11,2,"Novel4","Novel73",TRUE,FALSE,"Switch","Same"
"88",1,1723,"Novel115","Novel115",0,"Novel126","Switch vs. Switch",1,2,1,11,2,"Novel28","Novel5",TRUE,FALSE,"Switch","Switch"
"89",0,2007,"","squirrel",0,"","Practice",0,0,0,12,2,NA,NA,NA,NA,NA,NA
"90",0,1351,"","squirrel",0,"","Practice",0,0,0,12,2,NA,NA,NA,NA,NA,NA
"91",0,1185,"","tomato",0,"","Practice",0,0,0,12,2,NA,NA,NA,NA,NA,NA
"92",1,975,"","tomato",0,"","Practice",0,0,0,12,2,NA,NA,NA,NA,NA,NA
"93",1,1531,"Novel132","Novel107",1,"Novel107","Same vs. Same",0,2,0,12,2,"Novel58","Novel123",TRUE,FALSE,"Same","Same"
"94",0,1533,"Novel68","Novel45",0,"Novel45","Same vs. Switch",1,0,0,12,2,"Novel112","Novel24",TRUE,FALSE,"Same","Switch"
"95",0,1133,"Novel44","Novel44",1,"Novel65","Switch vs. Same",0,4,1,12,2,"Novel79","Novel55",TRUE,FALSE,"Switch","Same"
"96",0,4747,"Novel116","Novel116",1,"Novel37","Switch vs. Switch",0,6,1,12,2,"Novel34","Novel26",TRUE,FALSE,"Switch","Switch"
"97",0,880,"","squirrel",0,"","Practice",0,0,0,13,4,NA,NA,NA,NA,NA,NA
"98",0,623,"","squirrel",0,"","Practice",0,0,0,13,4,NA,NA,NA,NA,NA,NA
"99",1,791,"","tomato",0,"","Practice",0,0,0,13,4,NA,NA,NA,NA,NA,NA
"100",2,880,"","tomato",0,"","Practice",0,0,0,13,4,NA,NA,NA,NA,NA,NA
"101",2,708,"Novel2","Novel62",2,"Novel62","Same vs. Same",1,0,0,13,4,"Novel64","Novel71",TRUE,FALSE,"Same","Same"
"102",2,746,"Novel125","Novel133",3,"Novel133","Same vs. Switch",1,4,0,13,4,"Novel77","Novel123",TRUE,FALSE,"Same","Switch"
"103",1,488,"Novel86","Novel76",3,"Novel50","Switch vs. Same",0,6,1,13,4,"Novel42","Novel79",FALSE,FALSE,"Switch","Same"
"104",3,486,"Novel109","Novel127",2,"Novel83","Switch vs. Switch",0,2,1,13,4,"Novel118","Novel127",FALSE,TRUE,"Switch","Switch"
"105",0,3873,"","squirrel",0,"","Practice",0,0,0,14,2,NA,NA,NA,NA,NA,NA
"106",0,1463,"","squirrel",0,"","Practice",0,0,0,14,2,NA,NA,NA,NA,NA,NA
"107",0,1255,"","tomato",0,"","Practice",0,0,0,14,2,NA,NA,NA,NA,NA,NA
"108",1,1289,"","tomato",0,"","Practice",0,0,0,14,2,NA,NA,NA,NA,NA,NA
"109",0,1522,"Novel43","Novel55",0,"Novel55","Same vs. Same",1,0,0,14,2,"Novel2","Novel45",TRUE,FALSE,"Same","Same"
"110",0,1594,"Novel96","Novel59",1,"Novel59","Same vs. Switch",0,6,1,14,2,"Novel18","Novel44",TRUE,FALSE,"Same","Switch"
"111",1,3844,"Novel42","Novel42",0,"Novel41","Switch vs. Same",1,4,1,14,2,"Novel110","Novel84",TRUE,FALSE,"Switch","Same"
"112",1,2356,"Novel64","Novel64",1,"Novel125","Switch vs. Switch",0,2,0,14,2,"Novel12","Novel77",TRUE,FALSE,"Switch","Switch"
"113",0,2400,"","squirrel",0,"","Practice",0,0,1,15,2,NA,NA,NA,NA,NA,NA
"114",0,947,"","squirrel",0,"","Practice",0,0,1,15,2,NA,NA,NA,NA,NA,NA
"115",0,900,"","tomato",0,"","Practice",0,0,1,15,2,NA,NA,NA,NA,NA,NA
"116",1,820,"","tomato",0,"","Practice",0,0,1,15,2,NA,NA,NA,NA,NA,NA
"117",1,1909,"Novel126","Novel53",1,"Novel53","Same vs. Same",0,4,0,15,2,"Novel72","Novel34",TRUE,FALSE,"Same","Same"
"118",1,1789,"Novel56","Novel37",0,"Novel37","Same vs. Switch",1,6,1,15,2,"Novel136","Novel3",TRUE,FALSE,"Same","Switch"
"119",0,2208,"Novel42","Novel42",1,"Novel78","Switch vs. Same",0,0,1,15,2,"Novel19","Novel75",TRUE,FALSE,"Switch","Same"
"120",0,1413,"Novel17","Novel17",0,"Novel18","Switch vs. Switch",1,2,0,15,2,"Novel122","Novel93",TRUE,FALSE,"Switch","Switch"
"121",0,2729,"","squirrel",0,"","Practice",0,0,0,16,2,NA,NA,NA,NA,NA,NA
"122",0,1286,"","squirrel",0,"","Practice",0,0,0,16,2,NA,NA,NA,NA,NA,NA
"123",0,2102,"","tomato",0,"","Practice",0,0,0,16,2,NA,NA,NA,NA,NA,NA
"124",1,1022,"","tomato",0,"","Practice",0,0,0,16,2,NA,NA,NA,NA,NA,NA
"125",0,1051,"Novel114","Novel57",1,"Novel57","Same vs. Same",0,4,1,16,2,"Novel52","Novel112",TRUE,FALSE,"Same","Same"
"126",0,2279,"Novel4","Novel62",0,"Novel62","Same vs. Switch",1,6,0,16,2,"Novel115","Novel97",TRUE,FALSE,"Same","Switch"
"127",1,97841,"Novel117","Novel117",0,"Novel69","Switch vs. Same",1,2,1,16,2,"Novel87","Novel32",TRUE,FALSE,"Switch","Same"
"128",1,3346,"Novel34","Novel34",1,"Novel77","Switch vs. Switch",0,0,0,16,2,"Novel91","Novel25",TRUE,FALSE,"Switch","Switch"
"129",0,1250,"","squirrel",0,"","Practice",0,0,1,17,4,NA,NA,NA,NA,NA,NA
"130",0,1026,"","squirrel",0,"","Practice",0,0,1,17,4,NA,NA,NA,NA,NA,NA
"131",1,1632,"","tomato",0,"","Practice",0,0,1,17,4,NA,NA,NA,NA,NA,NA
"132",2,1168,"","tomato",0,"","Practice",0,0,1,17,4,NA,NA,NA,NA,NA,NA
"133",1,2137,"Novel25","Novel2",2,"Novel2","Same vs. Same",1,6,1,17,4,"Novel6","Novel54",TRUE,FALSE,"Same","Same"
"134",1,1067,"Novel15","Novel118",2,"Novel118","Same vs. Switch",1,0,1,17,4,"Novel26","Novel46",TRUE,FALSE,"Same","Switch"
"135",1,4727,"Novel28","Novel119",0,"Novel136","Switch vs. Same",1,4,0,17,4,"Novel119","Novel43",FALSE,TRUE,"Switch","Same"
"136",1,5490,"Novel137","Novel137",2,"Novel4","Switch vs. Switch",3,2,0,17,4,"Novel102","Novel92",TRUE,FALSE,"Switch","Switch"
"137",0,2022,"","squirrel",0,"","Practice",0,0,0,18,2,NA,NA,NA,NA,NA,NA
"138",0,1709,"","squirrel",0,"","Practice",0,0,0,18,2,NA,NA,NA,NA,NA,NA
"139",0,1523,"","tomato",0,"","Practice",0,0,0,18,2,NA,NA,NA,NA,NA,NA
"140",1,1572,"","tomato",0,"","Practice",0,0,0,18,2,NA,NA,NA,NA,NA,NA
"141",1,2666,"Novel58","Novel55",0,"Novel55","Same vs. Same",1,6,1,18,2,"Novel12","Novel42",TRUE,FALSE,"Same","Same"
"142",1,1930,"Novel125","Novel122",1,"Novel122","Same vs. Switch",0,4,0,18,2,"Novel103","Novel113",TRUE,FALSE,"Same","Switch"
"143",1,1661,"Novel31","Novel31",0,"Novel75","Switch vs. Same",1,2,1,18,2,"Novel106","Novel64",TRUE,FALSE,"Switch","Same"
"144",1,1979,"Novel139","Novel139",1,"Novel13","Switch vs. Switch",0,0,0,18,2,"Novel135","Novel101",TRUE,FALSE,"Switch","Switch"
"145",0,2052,"","squirrel",0,"","Practice",0,0,0,19,2,NA,NA,NA,NA,NA,NA
"146",0,1611,"","squirrel",0,"","Practice",0,0,0,19,2,NA,NA,NA,NA,NA,NA
"147",0,1188,"","tomato",0,"","Practice",0,0,0,19,2,NA,NA,NA,NA,NA,NA
"148",1,1030,"","tomato",0,"","Practice",0,0,0,19,2,NA,NA,NA,NA,NA,NA
"149",1,1323,"Novel3","Novel134",1,"Novel134","Same vs. Same",0,0,0,19,2,"Novel107","Novel52",TRUE,FALSE,"Same","Same"
"150",1,1467,"Novel8","Novel121",0,"Novel121","Same vs. Switch",1,6,1,19,2,"Novel78","Novel23",TRUE,FALSE,"Same","Switch"
"151",0,1275,"Novel30","Novel30",1,"Novel12","Switch vs. Same",0,2,1,19,2,"Novel72","Novel60",TRUE,FALSE,"Switch","Same"
"152",0,1185,"Novel84","Novel84",0,"Novel129","Switch vs. Switch",1,4,0,19,2,"Novel51","Novel80",TRUE,FALSE,"Switch","Switch"
"153",0,3406,"","squirrel",0,"","Practice",0,0,0,20,4,NA,NA,NA,NA,NA,NA
"154",0,1846,"","squirrel",0,"","Practice",0,0,0,20,4,NA,NA,NA,NA,NA,NA
"155",1,1400,"","tomato",0,"","Practice",0,0,0,20,4,NA,NA,NA,NA,NA,NA
"156",2,1655,"","tomato",0,"","Practice",0,0,0,20,4,NA,NA,NA,NA,NA,NA
"157",3,1615,"Novel115","Novel60",0,"Novel60","Same vs. Same",3,4,1,20,4,"Novel46","Novel10",TRUE,FALSE,"Same","Same"
"158",0,1514,"Novel103","Novel76",0,"Novel76","Same vs. Switch",1,2,0,20,4,"Novel75","Novel54",TRUE,FALSE,"Same","Switch"
"159",3,3447,"Novel47","Novel26",0,"Novel80","Switch vs. Same",2,6,1,20,4,"Novel113","Novel98",FALSE,FALSE,"Switch","Same"
"160",2,1750,"Novel39","Novel138",3,"Novel101","Switch vs. Switch",2,0,0,20,4,"Novel125","Novel138",FALSE,TRUE,"Switch","Switch"
"161",0,1948,"","squirrel",0,"","Practice",0,0,0,21,4,NA,NA,NA,NA,NA,NA
"162",0,860,"","squirrel",0,"","Practice",0,0,0,21,4,NA,NA,NA,NA,NA,NA
"163",1,1263,"","tomato",0,"","Practice",0,0,0,21,4,NA,NA,NA,NA,NA,NA
"164",2,971,"","tomato",0,"","Practice",0,0,0,21,4,NA,NA,NA,NA,NA,NA
"165",2,1971,"Novel15","Novel24",1,"Novel24","Same vs. Same",2,2,1,21,4,"Novel74","Novel134",TRUE,FALSE,"Same","Same"
"166",2,3210,"Novel105","Novel41",1,"Novel41","Same vs. Switch",3,6,0,21,4,"Novel40","Novel78",TRUE,FALSE,"Same","Switch"
"167",2,4130,"Novel63","Novel139",2,"Novel125","Switch vs. Same",3,4,1,21,4,"Novel139","Novel65",FALSE,TRUE,"Switch","Same"
"168",0,2944,"Novel129","Novel88",2,"Novel64","Switch vs. Switch",1,0,0,21,4,"Novel126","Novel17",FALSE,FALSE,"Switch","Switch"
"169",0,1939,"","squirrel",0,"","Practice",0,0,1,22,4,NA,NA,NA,NA,NA,NA
"170",0,1112,"","squirrel",0,"","Practice",0,0,1,22,4,NA,NA,NA,NA,NA,NA
"171",1,1412,"","tomato",0,"","Practice",0,0,1,22,4,NA,NA,NA,NA,NA,NA
"172",2,1239,"","tomato",0,"","Practice",0,0,1,22,4,NA,NA,NA,NA,NA,NA
"173",2,2510,"Novel126","Novel66",1,"Novel66","Same vs. Same",2,2,1,22,4,"Novel11","Novel37",TRUE,FALSE,"Same","Same"
"174",1,1552,"Novel6","Novel67",0,"Novel43","Same vs. Switch",1,4,0,22,4,"Novel60","Novel67",FALSE,TRUE,"Same","Switch"
"175",2,2827,"Novel113","Novel98",2,"Novel53","Switch vs. Same",0,6,0,22,4,"Novel124","Novel107",FALSE,FALSE,"Switch","Same"
"176",3,2029,"Novel62","Novel62",2,"Novel82","Switch vs. Switch",3,0,1,22,4,"Novel30","Novel54",TRUE,FALSE,"Switch","Switch"
"177",0,1495,"","squirrel",0,"","Practice",0,0,1,23,4,NA,NA,NA,NA,NA,NA
"178",0,1195,"","squirrel",0,"","Practice",0,0,1,23,4,NA,NA,NA,NA,NA,NA
"179",1,1184,"","tomato",0,"","Practice",0,0,1,23,4,NA,NA,NA,NA,NA,NA
"180",2,1233,"","tomato",0,"","Practice",0,0,1,23,4,NA,NA,NA,NA,NA,NA
"181",2,1132,"Novel24","Novel18",0,"Novel18","Same vs. Same",2,0,1,23,4,"Novel91","Novel72",TRUE,FALSE,"Same","Same"
"182",0,1603,"Novel1","Novel106",1,"Novel106","Same vs. Switch",0,4,1,23,4,"Novel132","Novel110",TRUE,FALSE,"Same","Switch"
"183",1,5291,"Novel97","Novel90",0,"Novel133","Switch vs. Same",1,2,0,23,4,"Novel90","Novel6",FALSE,TRUE,"Switch","Same"
"184",1,2501,"Novel3","Novel34",3,"Novel13","Switch vs. Switch",2,6,0,23,4,"Novel17","Novel62",FALSE,FALSE,"Switch","Switch"
"185",0,1659,"","squirrel",0,"","Practice",0,0,1,24,2,NA,NA,NA,NA,NA,NA
"186",0,1576,"","squirrel",0,"","Practice",0,0,1,24,2,NA,NA,NA,NA,NA,NA
"187",0,1833,"","tomato",0,"","Practice",0,0,1,24,2,NA,NA,NA,NA,NA,NA
"188",1,1043,"","tomato",0,"","Practice",0,0,1,24,2,NA,NA,NA,NA,NA,NA
"189",1,1980,"Novel102","Novel139",0,"Novel105","Same vs. Same",1,2,0,24,2,"Novel139","Novel14",FALSE,TRUE,"Same","Same"
"190",0,1654,"Novel43","Novel17",1,"Novel17","Same vs. Switch",0,6,1,24,2,"Novel5","Novel57",TRUE,FALSE,"Same","Switch"
"191",1,3226,"Novel53","Novel53",0,"Novel110","Switch vs. Same",1,0,1,24,2,"Novel79","Novel48",TRUE,FALSE,"Switch","Same"
"192",1,1609,"Novel125","Novel125",1,"Novel72","Switch vs. Switch",0,4,0,24,2,"Novel120","Novel49",TRUE,FALSE,"Switch","Switch"
"193",0,1287,"","squirrel",0,"","Practice",0,0,0,25,2,NA,NA,NA,NA,NA,NA
"194",0,851,"","squirrel",0,"","Practice",0,0,0,25,2,NA,NA,NA,NA,NA,NA
"195",0,881,"","tomato",0,"","Practice",0,0,0,25,2,NA,NA,NA,NA,NA,NA
"196",1,787,"","tomato",0,"","Practice",0,0,0,25,2,NA,NA,NA,NA,NA,NA
"197",1,656,"Novel122","Novel66",0,"Novel66","Same vs. Same",1,4,1,25,2,"Novel84","Novel104",TRUE,FALSE,"Same","Same"
"198",1,1342,"Novel88","Novel114",1,"Novel114","Same vs. Switch",0,2,0,25,2,"Novel131","Novel129",TRUE,FALSE,"Same","Switch"
"199",1,1163,"Novel8","Novel8",1,"Novel44","Switch vs. Same",0,0,0,25,2,"Novel120","Novel135",TRUE,FALSE,"Switch","Same"
"200",1,1218,"Novel55","Novel34",1,"Novel23","Switch vs. Switch",0,6,1,25,2,"Novel115","Novel34",FALSE,TRUE,"Switch","Switch"
"201",0,1246,"","squirrel",0,"","Practice",0,0,0,26,2,NA,NA,NA,NA,NA,NA
"202",0,1046,"","squirrel",0,"","Practice",0,0,0,26,2,NA,NA,NA,NA,NA,NA
"203",0,934,"","tomato",0,"","Practice",0,0,0,26,2,NA,NA,NA,NA,NA,NA
"204",1,836,"","tomato",0,"","Practice",0,0,0,26,2,NA,NA,NA,NA,NA,NA
"205",0,896,"Novel107","Novel15",1,"Novel15","Same vs. Same",0,4,1,26,2,"Novel79","Novel110",TRUE,FALSE,"Same","Same"
"206",0,1154,"Novel3","Novel115",1,"Novel115","Same vs. Switch",0,6,1,26,2,"Novel95","Novel132",TRUE,FALSE,"Same","Switch"
"207",0,1167,"Novel75","Novel75",0,"Novel14","Switch vs. Same",1,0,0,26,2,"Novel41","Novel111",TRUE,FALSE,"Switch","Same"
"208",1,1408,"Novel85","Novel85",1,"Novel32","Switch vs. Switch",0,2,0,26,2,"Novel67","Novel56",TRUE,FALSE,"Switch","Switch"
"209",0,1497,"","squirrel",0,"","Practice",0,0,1,27,4,NA,NA,NA,NA,NA,NA
"210",0,1158,"","squirrel",0,"","Practice",0,0,1,27,4,NA,NA,NA,NA,NA,NA
"211",1,951,"","tomato",0,"","Practice",0,0,1,27,4,NA,NA,NA,NA,NA,NA
"212",2,714,"","tomato",0,"","Practice",0,0,1,27,4,NA,NA,NA,NA,NA,NA
"213",2,1064,"Novel26","Novel28",0,"Novel28","Same vs. Same",2,0,1,27,4,"Novel124","Novel108",TRUE,FALSE,"Same","Same"
"214",1,1740,"Novel91","Novel36",1,"Novel36","Same vs. Switch",3,4,0,27,4,"Novel117","Novel89",TRUE,FALSE,"Same","Switch"
"215",2,1811,"Novel2","Novel2",2,"Novel12","Switch vs. Same",1,6,0,27,4,"Novel52","Novel127",TRUE,FALSE,"Switch","Same"
"216",1,2475,"Novel14","Novel14",3,"Novel65","Switch vs. Switch",1,2,1,27,4,"Novel132","Novel86",TRUE,FALSE,"Switch","Switch"
"217",0,1817,"","squirrel",0,"","Practice",0,0,1,28,4,NA,NA,NA,NA,NA,NA
"218",0,1134,"","squirrel",0,"","Practice",0,0,1,28,4,NA,NA,NA,NA,NA,NA
"219",1,1633,"","tomato",0,"","Practice",0,0,1,28,4,NA,NA,NA,NA,NA,NA
